year,ecode_dest,economy_dest,region_dest,ecode_source,economy_source,value,share,rank,value_million
2003,ABW,Aruba,Latin America & Caribbean,USA,United States,0.442,0.8157239540543464,1,442.0
2003,ABW,Aruba,Latin America & Caribbean,NLD,Netherlands,0.08992556,0.16596025650169993,2,89.92556
2003,ABW,Aruba,Latin America & Caribbean,BRA,Brazil,0.009836,0.018152626271670927,3,9.835999999999999
2003,ABW,Aruba,Latin America & Caribbean,PRT,Portugal,8.840996e-05,0.00016316317228277512,4,0.08840996
2003,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",CHN,China,0.00043,0.6763558575563106,1,0.43
2003,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",KOR,"Korea, Rep.",0.00020576,0.3236441424436895,2,0.20576
2003,AGO,Angola,Sub-Saharan Africa,NOR,Norway,1.6146706999999998,0.5227021624882455,1,1614.6707
2003,AGO,Angola,Sub-Saharan Africa,USA,United States,1.067,0.345409876685666,2,1067.0
2003,AGO,Angola,Sub-Saharan Africa,PRT,Portugal,0.2051914199999999,0.06642468892142143,3,205.1914199999999
2003,AGO,Angola,Sub-Saharan Africa,FRA,France,0.17681992,0.0572402500119675,4,176.81992
2003,AGO,Angola,Sub-Saharan Africa,BRA,Brazil,0.024826,0.008036687533831625,5,24.826
2003,AGO,Angola,,OTH,Others,0.0005756024199999,0.00018633435886798163,6,0.5756024199999
2003,ALB,Albania,Europe & Central Asia,GRC,Greece,0.26307016,0.9376614467378362,1,263.07016
2003,ALB,Albania,Europe & Central Asia,AUT,Austria,0.006314997,0.02250855522026936,2,6.314997
2003,ALB,Albania,Europe & Central Asia,BGR,Bulgaria,0.0052086096,0.018565056610862222,3,5.2086096
2003,ALB,Albania,Europe & Central Asia,USA,United States,0.005,0.017821509036559605,4,5.0
2003,ALB,Albania,Europe & Central Asia,HRV,Croatia,0.00051404077,0.0018321964455430115,5,0.5140407699999999
2003,ALB,Albania,,OTH,Others,0.00045204812499999997,0.001611235948929465,6,0.45204812499999997
2003,AND,Andorra,Europe & Central Asia,NLD,Netherlands,0.06125547,0.9954231060021677,1,61.25547
2003,AND,Andorra,Europe & Central Asia,PRT,Portugal,0.00028164887,0.004576893997832369,2,0.28164887
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",USA,United States,1.934,0.511119319192291,1,1934.0
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",CHE,Switzerland,0.50594226,0.13371089114881546,2,505.94226
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",NOR,Norway,0.38368265,0.10140000768040026,3,383.68265
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",DEU,Germany,0.33216885,0.08778589269332278,4,332.16885
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",NLD,Netherlands,0.28190146,0.07450118010057542,5,281.90146
2003,ARE,United Arab Emirates,,OTH,Others,0.3461570574999998,0.09148270918459496,6,346.15705749999984
2003,ARG,Argentina,Latin America & Caribbean,ESP,Spain,25.724771,0.5203795245342805,1,25724.771
2003,ARG,Argentina,Latin America & Caribbean,USA,United States,10.663,0.21569898018174907,2,10663.0
2003,ARG,Argentina,Latin America & Caribbean,CAN,Canada,3.7333643,0.07552122968741906,3,3733.3642999999997
2003,ARG,Argentina,Latin America & Caribbean,ITA,Italy,2.1470990000000003,0.043433092436392505,4,2147.099
