year,ecode_source,economy_source,region_source,ecode_dest,economy_dest,value,share,rank,value_million
2003,ABW,Aruba,Latin America & Caribbean,ZAF,South Africa,1.0063253,0.49859471398842486,1,1006.3253000000001
2003,ABW,Aruba,Latin America & Caribbean,NLD,Netherlands,0.9957487,0.4933544235455929,2,995.7487000000001
2003,ABW,Aruba,Latin America & Caribbean,SLV,El Salvador,0.015,0.007431911639135349,3,15.0
2003,ABW,Aruba,Latin America & Caribbean,ROU,Romania,0.00075162107,0.00037239875855682436,4,0.75162107
2003,ABW,Aruba,Latin America & Caribbean,PRT,Portugal,0.00049762177,0.00024655206829000894,5,0.49762177
2003,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",KOR,"Korea, Rep.",0.000643,0.683434078744148,1,0.643
2003,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",BGR,Bulgaria,0.0002260769,0.24029340260782714,2,0.2260769
2003,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",KAZ,Kazakhstan,7.176e-05,0.07627251864802496,3,0.07176
2003,AGO,Angola,Sub-Saharan Africa,ZAF,South Africa,0.047590363,0.5155669201137046,1,47.590362999999996
2003,AGO,Angola,Sub-Saharan Africa,PRT,Portugal,0.044716496,0.4844330798862954,2,44.716496
2003,AIA,Anguilla,,LVA,Latvia,0.00035363984,0.5522208998278424,1,0.35363984
2003,AIA,Anguilla,,SVK,Slovak Republic,0.00028675577,0.44777910017215766,2,0.28675576999999997
2003,ALB,Albania,Europe & Central Asia,MKD,North Macedonia,0.0025790448,0.9156970048241695,1,2.5790447999999997
2003,ALB,Albania,Europe & Central Asia,PRT,Portugal,0.00015913793,0.05650236314426115,2,0.15913793
2003,ALB,Albania,Europe & Central Asia,BGR,Bulgaria,7.829999999999999e-05,0.02780063203156939,3,0.0783
2003,AND,Andorra,Europe & Central Asia,NLD,Netherlands,0.037258484,0.7616189244631593,1,37.258484
2003,AND,Andorra,Europe & Central Asia,PRT,Portugal,0.0061255474,0.12521531532351401,2,6.1255474
2003,AND,Andorra,Europe & Central Asia,NOR,Norway,0.0023952096,0.04896165285243043,3,2.3952096
2003,AND,Andorra,Europe & Central Asia,UKR,Ukraine,0.0018,0.036794681824244016,4,1.8
2003,AND,Andorra,Europe & Central Asia,EST,Estonia,0.0008045306,0.016445804136037852,5,0.8045306
2003,AND,Andorra,,OTH,Others,0.0005363416,0.010963621400614418,6,0.5363416
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",MYS,Malaysia,1.1240172,0.4461565725831231,1,1124.0172
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",AUT,Austria,0.7628516,0.30279897429109764,2,762.8516
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",PAK,Pakistan,0.22160078,0.08796008147076992,3,221.60078
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",NLD,Netherlands,0.2162255,0.08582646954608175,4,216.22549999999998
2003,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",USA,United States,0.046,0.018258797408815152,5,46.0
2003,ARE,United Arab Emirates,,OTH,Others,0.1486384209999997,0.05899910470011239,6,148.63842099999968
2003,ARG,Argentina,Latin America & Caribbean,USA,United States,0.599,0.3512442447922432,1,599.0
2003,ARG,Argentina,Latin America & Caribbean,CHL,Chile,0.5149980000000001,0.3019867839390913,2,514.998
2003,ARG,Argentina,Latin America & Caribbean,ESP,Spain,0.2942788699999999,0.1725605333079544,3,294.2788699999999
2003,ARG,Argentina,Latin America & Caribbean,ITA,Italy,0.1667159299999999,0.09775961757543647,4,166.7159299999999
2003,ARG,Argentina,Latin America & Caribbean,PRY,Paraguay,0.04769929,0.027970118686437725,5,47.69929
2003,ARG,Argentina,,OTH,Others,0.0826739306,0.04847870169883694,6,82.6739306
2003,ARM,Armenia,Europe & Central Asia,MYS,Malaysia,0.010156947,0.6403131908253087,1,10.156946999999999
2003,ARM,Armenia,Europe & Central Asia,ROU,Romania,0.0037446758999999,0.23607146656722447,2,3.7446758999999
2003,ARM,Armenia,Europe & Central Asia,BGR,Bulgaria,0.0012314245,0.0776313345787332,3,1.2314245
2003,ARM,Armenia,Europe & Central Asia,LVA,Latvia,0.00042941982,0.02707143939491165,4,0.42941981999999995
2003,ARM,Armenia,Europe & Central Asia,UKR,Ukraine,0.0003,0.018912568633822013,5,0.3
2003,ATG,Antigua and Barbuda,Latin America & Caribbean,UKR,Ukraine,0.0094,0.6143911720093317,1,9.4
2003,ATG,Antigua and Barbuda,Latin America & Caribbean,USA,United States,0.003,0.19608228893914842,2,3.0
2003,ATG,Antigua and Barbuda,Latin America & Caribbean,SVN,Slovenia,0.002399699,0.15684615756166184,3,2.399699
2003,ATG,Antigua and Barbuda,Latin America & Caribbean,KAZ,Kazakhstan,0.0005,0.03268038148985807,4,0.5
2003,AUS,Australia,East Asia & Pacific,USA,United States,37.059,0.4053731740119771,1,37059.0
2003,AUS,Australia,East Asia & Pacific,GBR,United Kingdom,25.271363,0.27643305623246284,2,25271.363
2003,AUS,Australia,East Asia & Pacific,NZL,New Zealand,17.314066,0.18939145388361414,3,17314.066
2003,AUS,Australia,East Asia & Pacific,CHL,Chile,2.235037,0.02444815139977353,4,2235.0370000000003
2003,AUS,Australia,East Asia & Pacific,CAN,Canada,1.36026,0.014879325229540247,5,1360.26
2003,AUS,Australia,,OTH,Others,8.17974222289,0.08947483924263214,6,8179.74222289
2003,AUT,Austria,Europe & Central Asia,DEU,Germany,13.555772,0.31145478399951165,1,13555.771999999999
2003,AUT,Austria,Europe & Central Asia,CZE,Czechia,5.350696,0.12293655181918457,2,5350.696
2003,AUT,Austria,Europe & Central Asia,HUN,Hungary,4.697986299999999,0.10794002055354464,3,4697.9863
2003,AUT,Austria,Europe & Central Asia,USA,United States,3.606,0.08285075546433203,4,3606.0
2003,AUT,Austria,Europe & Central Asia,SVK,Slovak Republic,2.8915300000000004,0.06643523154403218,5,2891.53
2003,AUT,Austria,,OTH,Others,13.42206059,0.3083826566193949,6,13422.06059
2003,AZE,Azerbaijan,Europe & Central Asia,TUR,Türkiye,0.008,0.8770036626561584,1,8.0
2003,AZE,Azerbaijan,Europe & Central Asia,UKR,Ukraine,0.0008,0.08770036626561584,2,0.8
2003,AZE,Azerbaijan,Europe & Central Asia,CZE,Czechia,0.0001667966,0.018285153639824272,3,0.1667966
2003,AZE,Azerbaijan,Europe & Central Asia,LTU,Lithuania,0.000101372145,0.011112967807038895,4,0.101372145
2003,AZE,Azerbaijan,Europe & Central Asia,KAZ,Kazakhstan,5.38e-05,0.0058978496313626646,5,0.0538
2003,BDI,Burundi,Sub-Saharan Africa,TZA,Tanzania,0.0004199999999999,1.0,1,0.4199999999999
2003,BEL,Belgium,Europe & Central Asia,NLD,Netherlands,43.47673399999999,0.29947006589444974,1,43476.734
2003,BEL,Belgium,Europe & Central Asia,FRA,France,33.53642,0.23100065214797283,2,33536.42
2003,BEL,Belgium,Europe & Central Asia,DEU,Germany,13.329696,0.09181565799015592,3,13329.696
2003,BEL,Belgium,Europe & Central Asia,USA,United States,11.239,0.07741483227759752,4,11239.0
2003,BEL,Belgium,Europe & Central Asia,LUX,Luxembourg,9.062652,0.062424031014345904,5,9062.652
2003,BEL,Belgium,,OTH,Others,34.5343954973,0.23787476067547805,6,34534.3954973
2003,BFA,Burkina Faso,Sub-Saharan Africa,KOR,"Korea, Rep.",8.999999999999999e-05,1.0,1,0.09
2003,BGD,Bangladesh,South Asia,PAK,Pakistan,0.0076189966,0.41459849681939803,1,7.6189966
2003,BGD,Bangladesh,South Asia,KOR,"Korea, Rep.",0.0051909999999999,0.28247562113224384,2,5.1909999999998995
2003,BGD,Bangladesh,South Asia,MMR,Myanmar,0.003,0.16324925128043688,3,3.0
2003,BGD,Bangladesh,South Asia,MYS,Malaysia,0.0012342105,0.06716131334915122,4,1.2342105
2003,BGD,Bangladesh,South Asia,USA,United States,0.001,0.05441641709347896,5,1.0
2003,BGD,Bangladesh,,OTH,Others,0.0003326,0.0180989003252911,6,0.3326
2003,BGR,Bulgaria,Europe & Central Asia,MKD,North Macedonia,0.029406416,0.36316225983847195,1,29.406416
2003,BGR,Bulgaria,Europe & Central Asia,ALB,Albania,0.017737156,0.2190496678026833,2,17.737156
2003,BGR,Bulgaria,Europe & Central Asia,UKR,Ukraine,0.0127,0.15684198645454084,3,12.7
2003,BGR,Bulgaria,Europe & Central Asia,TUR,Türkiye,0.012,0.14819715255547167,4,12.0
2003,BGR,Bulgaria,Europe & Central Asia,SVN,Slovenia,0.0036206377,0.04471401646458267,5,3.6206377
2003,BGR,Bulgaria,,OTH,Others,0.0055090059999999,0.0680349168842495,6,5.5090059999999
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",TUR,Türkiye,0.185,0.6932482710959585,1,185.0
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",PAK,Pakistan,0.040119514,0.15033937144708165,2,40.119514
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",SYR,Syrian Arab Republic,0.010959643,0.041068938170696886,3,10.959643
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",BGD,Bangladesh,0.0075499999999999,0.02829202403661847,4,7.5499999999998995
2003,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",KAZ,Kazakhstan,0.006934,0.0259836946582669,5,6.934
2003,BHR,Bahrain,,OTH,Others,0.016296505999999898,0.06106770059137754,6,16.296505999999898
2003,BHS,"Bahamas, The",Latin America & Caribbean,SGP,Singapore,5.7512935,0.6043409584329591,1,5751.2935
2003,BHS,"Bahamas, The",Latin America & Caribbean,PRT,Portugal,1.8945521,0.19907789993940936,2,1894.5521
2003,BHS,"Bahamas, The",Latin America & Caribbean,USA,United States,1.227,0.12893210127378144,3,1227.0
2003,BHS,"Bahamas, The",Latin America & Caribbean,KOR,"Korea, Rep.",0.150421,0.015806108888103892,4,150.421
2003,BHS,"Bahamas, The",Latin America & Caribbean,CHL,Chile,0.105381,0.011073344551208118,5,105.381
2003,BHS,"Bahamas, The",,OTH,Others,0.387989357576,0.04076958691453808,6,387.98935757600003
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,HRV,Croatia,0.06497248,0.6180720635659728,1,64.97248
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,SVN,Slovenia,0.0330189439999999,0.31410355360991654,2,33.0189439999999
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,MKD,North Macedonia,0.0029869936,0.028414758036177067,3,2.9869936
2003,BIH,Bosnia and Herzegovina,Europe & Central Asia,MYS,Malaysia,0.0016552632,0.01574623504857465,4,1.6552632
