country_name,year,country_year,region,region_short,ownership,foreign_tech,exporter,gvc_manuf,qa_cert,N_obs,N_owner,N_tech,N_export,N_gvc,N_qacert
Afghanistan,2008.0,Afghanistan (2008),"Middle East, North Africa, Afghanistan & Pakistan",MENAAP,4.339622641509433,10.92437,2.2598870056497176,75.0,8.522727,535,530,119,531,124,528
Afghanistan,2014.0,Afghanistan (2014),"Middle East, North Africa, Afghanistan & Pakistan",MENAAP,0.0,6.271059,2.552127519449552,72.60915,22.097864,410,410,137,371,139,396
Afghanistan,2025.0,Afghanistan (2025),"Middle East, North Africa, Afghanistan & Pakistan",MENAAP,1.3851782044423202,3.8845763,6.220484458668615,46.67218,8.128402,426,426,230,426,230,426
Albania,2007.0,Albania (2007),Europe & Central Asia,ECA,16.538429916209985,38.639347,12.047183454082617,86.62675,24.582073,304,304,107,304,111,281
Albania,2013.0,Albania (2013),Europe & Central Asia,ECA,6.232019968607873,20.71184,8.714766447959835,67.219696,23.789959,360,358,107,342,109,334
Albania,2019.0,Albania (2019),Europe & Central Asia,ECA,5.311461109531401,15.459476,14.891110743481123,76.48867,13.153465,377,375,146,374,146,369
Albania,2025.0,Albania (2025),Europe & Central Asia,ECA,0.6120721892044773,7.120278,10.404162574343125,50.696777,14.765289,365,365,139,365,139,361
Angola,2006.0,Angola (2006),Sub-Saharan Africa,SSA,14.653645205440927,5.98724,1.0376274140597863,68.35045,5.0539083,425,425,215,425,215,423
Angola,2010.0,Angola (2010),Sub-Saharan Africa,SSA,27.356137579612565,34.677116,2.059959822259357,59.315723,21.646858,360,350,128,350,136,336
Angola,2024.0,Angola (2024),Sub-Saharan Africa,SSA,17.50716968807428,28.706602,0.7837764228295481,30.078169,4.890354,430,428,93,427,92,430
Antigua and Barbuda,2010.0,Antigua and Barbuda (2010),Latin America & Caribbean,LAC,8.492277330383528,0.0,17.14873329533303,64.575455,3.6984735,151,148,34,151,34,150
Antigua and Barbuda,2025.0,Antigua and Barbuda (2025),Latin America & Caribbean,LAC,11.698412601736251,50.54961,8.81819960025878,88.22392,13.277942,101,98,9,98,9,94
Argentina,2006.0,Argentina (2006),Latin America & Caribbean,LAC,14.154060612872192,16.396786,25.605216466865677,74.06432,26.874363,1063,1060,651,1058,741,1056
Argentina,2010.0,Argentina (2010),Latin America & Caribbean,LAC,4.707137376778443,14.062958,15.398784007909908,73.287575,18.204649,1054,1053,781,1052,799,1019
Argentina,2017.0,Argentina (2017),Latin America & Caribbean,LAC,2.7953978609092585,7.4917674,6.813872673572878,62.27947,17.228672,991,990,643,990,650,969
Armenia,2009.0,Armenia (2009),Europe & Central Asia,ECA,10.826720166333224,40.30048,14.496759427281255,87.63594,26.894012,374,370,113,373,113,371
Armenia,2013.0,Armenia (2013),Europe & Central Asia,ECA,10.516201033365508,22.069159,7.3097412249973805,89.30944,25.192102,360,358,111,356,111,360
Armenia,2020.0,Armenia (2020),Europe & Central Asia,ECA,6.366808998695653,33.67686,14.15866642935614,88.58407,7.7902822,546,545,272,543,275,531
Armenia,2024.0,Armenia (2024),Europe & Central Asia,ECA,7.636923453362055,35.07743,7.8381257780353195,86.011795,20.331142,375,375,147,375,147,364
Austria,2021.0,Austria (2021),Europe & Central Asia,ECA,9.472322030691432,25.791819,29.411357223725666,93.35135,27.115837,600,600,199,599,200,586
Austria,2025.0,Austria (2025),Europe & Central Asia,ECA,4.122022453783234,24.14028,23.250092535250424,77.05354,30.844429,601,601,244,601,244,599
Azerbaijan,2009.0,Azerbaijan (2009),Europe & Central Asia,ECA,8.694694711543045,23.805956,2.8258237413081924,47.28937,18.173765,380,380,118,380,120,368
Azerbaijan,2013.0,Azerbaijan (2013),Europe & Central Asia,ECA,0.0,25.391747,1.3073310815277148,21.014551,13.509739,390,390,120,390,121,378
Azerbaijan,2019.0,Azerbaijan (2019),Europe & Central Asia,ECA,6.067841620077452,41.682728,9.020808101008782,76.836914,17.354685,225,223,52,214,51,221
Azerbaijan,2024.0,Azerbaijan (2024),Europe & Central Asia,ECA,5.9248629904817225,47.179386,4.98579352312399,73.18442,15.568715,368,366,121,362,123,337
Bahamas,2010.0,Bahamas (2010),Latin America & Caribbean,LAC,14.882402703297949,20.114943,13.183815309642972,77.09497,31.139317,150,148,41,148,42,136
Bahrain,2024.0,Bahrain (2024),"Middle East, North Africa, Afghanistan & Pakistan",MENAAP,20.74387295654257,38.074036,18.49671484995099,86.21705,35.4293,150,149,47,146,47,146
Bangladesh,2007.0,Bangladesh (2007),South Asia,SAR,0.9887298623287916,3.779218,18.44698803477284,48.75083,7.822033,1504,1504,1200,1503,1300,1479
Bangladesh,2013.0,Bangladesh (2013),South Asia,SAR,1.8978944091905137,16.735004,17.869264296931966,58.20843,14.33585,1442,1442,1177,1442,1179,1427
Bangladesh,2022.0,Bangladesh (2022),South Asia,SAR,1.1666229157100652,2.577318,7.728222310080378,21.206285,9.169777,998,998,541,997,544,994
Barbados,2010.0,Barbados (2010),Latin America & Caribbean,LAC,11.805588837160204,6.6010566,20.36804567516805,90.6287,18.312628,150,150,70,150,71,146
Barbados,2023.0,Barbados (2023),Latin America & Caribbean,LAC,9.64737548060655,9.138007,6.807787414651198,80.26912,2.9165444,153,153,61,151,63,149
Belarus,2008.0,Belarus (2008),Europe & Central Asia,ECA,11.874619700619737,18.213432,17.08427025063591,64.898125,13.934027,273,254,82,273,104,263
Belarus,2013.0,Belarus (2013),Europe & Central Asia,ECA,11.411530432506092,6.079611,14.268344737131352,83.51396,12.621164,360,355,117,359,117,354
Belarus,2018.0,Belarus (2018),Europe & Central Asia,ECA,9.6825883773828,9.092249,16.87400166280372,84.074715,20.699558,600,598,329,598,330,589
Belgium,2020.0,Belgium (2020),Europe & Central Asia,ECA,14.177428158041975,25.188742,28.90329722549336,94.515724,25.146845,614,609,243,609,243,601
Belgium,2024.0,Belgium (2024),Europe & Central Asia,ECA,14.850576974805008,16.266863,31.346346674629398,94.48734,32.257473,320,318,94,315,93,308
Belize,2010.0,Belize (2010),Latin America & Caribbean,LAC,4.633199532775311,16.718779,17.307443413978387,77.933815,0.7022261,150,150,72,150,72,150
Benin,2009.0,Benin (2009),Sub-Saharan Africa,SSA,11.799863409378025,5.5410123,3.445279195972307,36.665325,8.945409,150,149,64,149,72,141
Benin,2016.0,Benin (2016),Sub-Saharan Africa,SSA,19.351335969506305,2.123565,17.825663150728715,75.72321,14.389689,150,146,70,147,70,148
Benin,2024.0,Benin (2024),Sub-Saharan Africa,SSA,21.05908038654148,11.100853,9.319492180253288,60.734356,5.9923553,364,364,72,364,72,361
Bhutan,2009.0,Bhutan (2009),South Asia,SAR,6.304816235812439,12.708621,7.480180782484422,84.25968,5.3660297,250,250,95,250,95,244
Bhutan,2015.0,Bhutan (2015),South Asia,SAR,3.661883765163918,14.405793,3.393199622779059,53.750587,3.727715,253,251,77,248,82,248
Bhutan,2024.0,Bhutan (2024),South Asia,SAR,2.6744284892936925,10.653562,5.2927666254659345,96.44635,2.5138211,155,155,69,155,69,153
Bolivia,2006.0,Bolivia (2006),Latin America & Caribbean,LAC,13.90349161220536,9.761291,11.660772604385523,56.002605,13.751353,613,612,367,612,405,610
Bolivia,2010.0,Bolivia (2010),Latin America & Caribbean,LAC,10.985193799427275,26.114195,7.527909697657531,66.74317,22.34977,362,357,115,362,159,340
Bolivia,2017.0,Bolivia (2017),Latin America & Caribbean,LAC,10.226074668848712,36.921093,7.48812602172851,75.06126,11.633784,364,364,117,363,118,353
Bolivia,2025.0,Bolivia (2025),Latin America & Caribbean,LAC,3.5238835834969624,7.369954,4.060171249182401,62.08238,4.338107,610,610,204,610,206,602
